City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
133,Alta Floresta,BR,82.54,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
134,Itarema,BR,79.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
135,Xining,CN,43.5,overcast clouds,36.6167,101.7667,Super Leisure Hotel
136,Te Anau,NZ,51.66,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
137,Flinders,AU,63.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
138,Hamilton,US,66.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
139,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
141,Hilo,US,93.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
143,Vardo,NO,42.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
144,Thompson,CA,33.96,mist,55.7435,-97.8558,Burntwood Hotel
145,Jamestown,US,56.17,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
146,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
147,Harper,LR,75.78,light rain,4.375,-7.7169,Screensaver
148,Scarborough,GB,51.37,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
149,Chumikan,RU,42.26,overcast clouds,54.7183,135.315,Fortuna
150,Babati,TZ,62.62,clear sky,-4.2167,35.75,White Rose Lodge
153,Sterling,US,69.46,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
