City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
239,Hearst,CA,49.6835,-83.6665,46.65,78,92,6.89,overcast clouds
240,Hobyo,SO,5.3505,48.5268,77.81,84,47,16.69,scattered clouds
241,Altoona,US,40.5187,-78.3947,65.23,40,46,1.01,scattered clouds
242,College,US,64.8569,-147.8028,28.8,80,20,6.91,few clouds
243,Tshikapa,CD,-6.4167,20.8,75.9,60,37,0.45,scattered clouds
244,Kununurra,AU,-15.7667,128.7333,78.78,73,97,4.61,overcast clouds
245,Lakatoro,VU,-16.0999,167.4164,77.72,70,78,8.41,broken clouds
246,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,14.97,scattered clouds
247,Solnechnyy,RU,50.7214,136.6319,39.88,87,99,1.19,light rain
248,Biak,ID,-0.9131,122.8766,76.77,78,77,3.8,broken clouds
249,Beaupre,CA,47.0443,-70.8953,59.38,100,100,1.14,moderate rain
250,Clyde River,CA,70.4692,-68.5914,23.23,86,75,3.44,broken clouds
251,Bengkulu,ID,-3.8004,102.2655,74.34,90,100,3.51,overcast clouds
252,Ambanja,MG,-13.6833,48.45,72.73,79,94,0.76,overcast clouds
253,Buchanan,LR,5.8808,-10.0467,76.39,87,98,4.65,light rain
254,Healdsburg,US,38.6105,-122.8692,98.1,54,0,0.0,clear sky
255,Salani,IN,29.957,79.7127,56.3,69,0,4.56,clear sky
256,Altay,CN,47.8667,88.1167,42.31,33,97,3.87,overcast clouds
257,Boueni,YT,-12.9025,45.0761,73.38,74,0,7.92,clear sky
258,Manzhouli,CN,49.6,117.4333,30.58,63,6,17.74,clear sky
259,Luderitz,NA,-26.6481,15.1594,65.53,59,100,15.3,overcast clouds
260,La Serena,CL,-29.9078,-71.2542,60.31,77,20,13.8,few clouds
261,Sitka,US,57.0531,-135.33,48.09,76,75,5.23,broken clouds
262,Mayumba,GA,-3.432,10.6554,77.05,90,99,7.54,light rain
263,Cavalcante,BR,-13.7975,-47.4583,84.58,25,48,3.94,scattered clouds
264,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,86,20,6.71,few clouds
265,Atasu,KZ,48.6814,71.6433,51.69,31,100,5.79,overcast clouds
266,Atar,MR,20.5169,-13.0499,89.02,24,30,4.7,scattered clouds
267,High Level,CA,58.5169,-117.136,44.71,57,20,14.97,few clouds
268,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,86,4,12.33,clear sky
269,Alta Floresta,BR,-9.8756,-56.0861,93.02,43,20,4.61,few clouds
270,Salalah,OM,17.0151,54.0924,75.9,75,9,2.15,clear sky
271,Steamboat Springs,US,40.485,-106.8317,67.95,17,0,10.36,clear sky
272,Bassila,BJ,9.0081,1.6654,72.82,92,84,4.14,moderate rain
273,Svolvaer,NO,68.2342,14.5683,46.36,57,0,17.27,clear sky
274,Bethel,US,41.3712,-73.414,67.59,62,0,3.44,clear sky
275,Tezpur,IN,26.6333,92.8,71.26,95,6,4.21,clear sky
276,East London,ZA,-33.0153,27.9116,65.35,84,100,8.86,light rain
277,Chimbote,PE,-9.0853,-78.5783,64.69,73,7,11.36,clear sky
278,El Alto,PE,-4.2714,-81.2147,67.66,71,12,17.78,few clouds
279,Ostrovnoy,RU,68.0531,39.5131,43.16,97,100,3.53,light rain
280,Robertsport,LR,6.7533,-11.3686,79.02,82,89,7.56,overcast clouds
281,Buta,CD,2.7858,24.73,68.63,95,95,3.24,light rain
282,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,15.01,few clouds
283,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,14.7,overcast clouds
284,Navrongo,GH,10.8956,-1.0921,78.71,73,42,4.56,scattered clouds
285,Nikolsk,RU,53.7189,46.0712,40.15,76,100,5.97,overcast clouds
