City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
248,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,12.66,broken clouds
249,Vila,PT,42.0304,-8.1588,54.48,91,8,0.85,clear sky
250,Belaya Gora,RU,68.5333,146.4167,10.4,91,100,4.32,overcast clouds
251,Bonthe,SL,7.5264,-12.505,77.83,86,93,4.99,overcast clouds
252,Rockhampton,AU,-23.3833,150.5,73.29,83,5,4.61,clear sky
253,Namibe,AO,-15.1961,12.1522,67.73,83,84,7.94,broken clouds
254,Ilawe,NG,7.8667,4.4333,70.79,96,100,3.65,overcast clouds
255,Zatoka,UA,46.0725,30.4654,56.37,52,4,14.74,clear sky
256,Ulladulla,AU,-35.35,150.4667,56.39,67,0,3.89,clear sky
257,Sao Francisco De Paula,BR,-29.4481,-50.5836,50.38,97,100,4.68,overcast clouds
258,Fasa,IR,28.9383,53.6482,58.24,33,0,4.61,clear sky
259,Mgandu,TZ,-5.95,34.1333,67.35,34,7,9.46,clear sky
260,Garowe,SO,8.4054,48.4845,76.64,70,40,16.71,scattered clouds
261,Catalina Foothills,US,32.2979,-110.9187,90.55,29,20,8.05,few clouds
262,Kendari,ID,-3.945,122.4989,74.66,95,88,2.62,overcast clouds
263,Jalu,LY,29.0331,21.5482,73.8,79,98,18.66,overcast clouds
264,Clarence Town,AU,-32.5833,151.7833,61.99,69,0,3.33,clear sky
265,Paliyad,IN,22.25,71.5667,79.3,41,18,5.77,few clouds
266,Petropavlovka,RU,50.6114,105.3196,26.38,77,96,5.03,overcast clouds
267,Aklavik,CA,68.2191,-135.0107,28.4,59,75,4.61,broken clouds
268,Tiznit,MA,29.5833,-9.5,76.91,25,48,4.61,scattered clouds
269,Novodolinskiy,KZ,49.705,72.7047,36.18,38,100,6.64,overcast clouds
270,Hofn,IS,64.2539,-15.2082,39.99,62,44,24.43,scattered clouds
271,Fortuna,US,40.5982,-124.1573,59.99,80,7,5.64,clear sky
272,Bay Roberts,CA,47.5999,-53.2648,55.26,83,57,1.01,broken clouds
273,Palana,RU,59.1167,159.9667,32.16,98,100,2.48,light snow
274,Khani,GE,41.9563,42.9566,47.77,79,100,2.66,overcast clouds
275,Isiolo,KE,0.3546,37.5822,69.28,64,56,10.78,broken clouds
276,Kulhudhuffushi,MV,6.6221,73.07,81.23,78,100,18.23,overcast clouds
277,Eirunepe,BR,-6.6603,-69.8736,76.24,95,100,1.12,moderate rain
278,Vanimo,PG,-2.6741,141.3028,77.02,92,99,5.95,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,51.98,93,75,3.44,fog
280,Trindade,BR,-16.6494,-49.4889,91.15,21,8,5.7,clear sky
281,Corner Brook,CA,48.9667,-57.9484,51.96,73,87,2.48,overcast clouds
282,Port Hedland,AU,-20.3167,118.5667,60.85,82,6,4.61,clear sky
283,Dingle,PH,10.9995,122.6711,75.72,91,46,5.66,scattered clouds
